generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
darifenacin,"abdominal pain, alanine aminotransferase increased, anaphylactic shock, angioedema, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, back pain, bladder pain, breast disorder, bronchitis","gallbladder disorder, obstructive airways disorder",,granuloma annulare,
darunavir,"abdominal discomfort, abdominal distension, abdominal pain, abnormal dreams, acute coronary syndrome, acute respiratory distress syndrome, affect lability, ageusia, agitation, alanine aminotransferase increased, alopecia, altered state of consciousness","acute myocardial infarction, clostridial infection, completed suicide, drug eruption, drug interaction, eosinophil count increased, eye swelling, grand mal convulsion, hepatic cirrhosis, hepatic steatosis","acute generalised exanthematous pustulosis, blood creatinine decreased, congenital musculoskeletal anomaly, hepatic cancer, obesity, toxic skin eruption","autoimmune disorder, basedow's disease, hepatitis b, hepatitis c, hepatitis viral, insulin resistance, oesophageal candidiasis, progressive multifocal leukoencephalopathy","b-cell lymphoma, burning mouth syndrome, chronic hepatitis b, encephalitis cytomegalovirus, ischaemic cerebral infarction, pancreatitis chronic, petit mal epilepsy, pharyngeal lesion"
dasatinib,"abdominal distension, abdominal pain, acute coronary syndrome, acute respiratory distress syndrome, affect lability, alanine aminotransferase increased, alopecia, amnesia, anaemia, angina pectoris, angiopathy, anxiety","acute febrile neutrophilic dermatosis, anal fissure, aplasia pure red cell, atrial flutter, blood calcium decreased, cardiac failure acute, cyst, drug eruption, exfoliative rash, eye oedema","cor pulmonale, left ventricular dysfunction, miliaria, posterior reversible encephalopathy syndrome, rash follicular, rash vesicular","auricular swelling, chronic myeloid leukaemia, congestive cardiomyopathy, ear haemorrhage, epidural haemorrhage, oligomenorrhoea, ventricular failure","cerebral haematoma, diastolic dysfunction, enterocolitis infectious, erythrosis, genital rash, genital swelling, incision site oedema, intra-abdominal haematoma"
deferasirox,"abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angioedema, anxiety","blood disorder, duodenal ulcer, ear infection, fanconi syndrome, hepatic cirrhosis, maculopathy, pigmentation disorder, renal tubular disorder, tubulointerstitial nephritis","blood creatinine abnormal, drug-induced liver injury, henoch-schonlein purpura, lenticular opacities, leukocytoclastic vasculitis",iron overload,acute tonsillitis
deferiprone,"abdominal pain, acute respiratory distress syndrome, agranulocytosis, alanine aminotransferase increased, anaphylactic shock, angiopathy, arthralgia, arthritis, arthropathy, aspartate aminotransferase increased, asthenia, atrial fibrillation","cerebellar syndrome, effusion, encephalitis, enterocolitis, myositis, nephropathy, neutrophil count decreased, obsessive-compulsive disorder, papilloedema, subcutaneous abscess","chondropathy, fibrosis, haemoglobinuria, henoch-schonlein purpura, parotid gland enlargement, psychomotor skills impaired","cryptococcal cutaneous infection, hepatitis c, hypersplenism, pyramidal tract syndrome, retinal toxicity",disability
demeclocycline,"anaphylactic shock, angioedema, arthralgia, decreased appetite, dermatitis, dermatitis exfoliative, diarrhoea, dizziness, dysphagia, eosinophilia, erythema multiforme, glossitis","benign intracranial hypertension, drug eruption, enterocolitis, haemolytic anaemia, pericarditis","balanitis, henoch-schonlein purpura, nephrogenic diabetes insipidus, systemic lupus erythematosus, thyroid function test abnormal, tooth discolouration","fontanelle bulging, lupus-like syndrome, myasthenic syndrome",
desflurane,"abdominal pain, acute coronary syndrome, agitation, alanine aminotransferase increased, angiopathy, apnoea, arrhythmia, aspartate aminotransferase increased, asthenia, asthma, atrial fibrillation, blood bilirubin increased","electrocardiogram t wave inversion, laryngospasm, liver disorder, oxygen saturation decreased, respiratory failure, rhabdomyolysis, tachyarrhythmia, torsade de pointes, ulcerative keratitis","blindness transient, foetor hepaticus, hepatic necrosis, nodal arrhythmia, respiratory arrest","ammonia increased, carbon dioxide increased, coagulation test abnormal, drug administration error, electrocardiogram st-t change, eye burns, hypercapnia, light anaesthesia",
desipramine,"abdominal pain, accommodation disorder, acute coronary syndrome, agitation, agranulocytosis, alopecia, anxiety, arrhythmia, asthenia, ataxia, atrioventricular block, blood alkaline phosphatase increased","inappropriate antidiuretic hormone secretion, intraocular pressure increased, sudden death, testicular swelling, tongue discolouration","lymphadenitis, neuroleptic malignant syndrome, painful ejaculation, parotid gland enlargement",,pancreatic enzymes increased
desloratadine,"abdominal pain, affect lability, agitation, anaphylactic shock, angioedema, asthenia, autonomic neuropathy, blood bilirubin increased, body temperature increased, breast disorder, bronchitis, cardiac disorder",infection parasitic,varicella,,
desvenlafaxine,"abnormal dreams, acute coronary syndrome, alopecia, angioedema, angiopathy, anorgasmia, anxiety, asthenia, blood cholesterol increased, blood pressure increased, blood prolactin increased, blood triglycerides increased","angle closure glaucoma, ejaculation failure, haemorrhagic disorder","coronary artery occlusion, eosinophilic pneumonia, serotonin syndrome",fasting,
dexamethasone,"abdominal distension, abdominal pain, abscess, acne, acute coronary syndrome, affect lability, alopecia, amenorrhoea, anaphylactic shock, angioedema, angiopathy, anxiety","anaphylactoid reaction, anterior chamber flare, anterior chamber inflammation, benign intracranial hypertension, blindness, cognitive disorder, corneal oedema, cushing's syndrome, cushingoid, diplegia","arachnoiditis, cataract subcapsular, drug dependence, inflammatory bowel disease, miliaria, myasthenia gravis, necrosis, necrosis ischaemic","adrenocortical insufficiency acute, alkalosis hypokalaemic, atrophy, carbohydrate tolerance decreased, complication of device insertion, corneal thinning, device dislocation, eyelid ptosis","anterior chamber cell, bladder dysfunction, calcinosis, eye infection viral, fat embolism, increased insulin requirement, joint instability, low birth weight baby"
dexmedetomidine,"abdominal distension, abdominal pain, acute coronary syndrome, acute respiratory distress syndrome, agitation, alanine aminotransferase increased, anaemia, angiopathy, anxiety, apnoea, arrhythmia, aspartate aminotransferase increased","acidosis, drug ineffective, electrocardiogram t wave inversion, hypoalbuminaemia, hypoventilation, illusion, nephropathy, pulmonary congestion, respiratory acidosis, respiratory failure",hyperpyrexia,"carbon dioxide increased, hypercapnia, light anaesthesia, pregnancy, sinus arrest, systolic hypertension",
dexrazoxane,"abdominal pain, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, angiopathy, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, blood lactate dehydrogenase increased","injection site phlebitis, post procedural infection, thrombophlebitis superficial, wound complication",venous thrombosis limb,,
dextromethorphan,"abdominal discomfort, abdominal pain, agitation, asthenia, confusional state, constipation, diarrhoea, dizziness, dyspepsia, fatigue, feeling abnormal, gastrointestinal disorder",,serotonin syndrome,,fructose intolerance
diazepam,"abdominal pain, abnormal behaviour, acute coronary syndrome, affect lability, aggression, agitation, agranulocytosis, amblyopia, amnesia, anaemia, anaphylactic shock, anger","abnormal faeces, acidosis, blood disorder, emotional poverty, grand mal convulsion, heart rate irregular, hyperacusis, hypoventilation, increased bronchial secretion, laryngospasm","hyperpyrexia, respiratory arrest, type i hypersensitivity","dependence, hallucinations, mixed","blood thromboplastin decreased, cardiovascular insufficiency, floppy infant"
diazoxide,"abdominal discomfort, abdominal pain, ageusia, albuminuria, anxiety, aspartate aminotransferase increased, asthenia, azotaemia, body temperature increased, cataract, chest pain, conjunctival haemorrhage","cerebral ischaemia, drug interaction, hirsutism, nephrotic syndrome","blood creatinine decreased, diabetic ketoacidosis","breast mass, diabetic hyperosmolar coma","blood immunoglobulin g decreased, pancreatic necrosis"
dichlorphenamide,"agranulocytosis, asthenia, ataxia, blood uric acid increased, body temperature increased, confusional state, constipation, decreased appetite, disorientation, dizziness, dyspepsia, electrolyte imbalance","conversion disorder, hyperchloraemia",,"renal colic, urine phosphorus increased",
diflunisal,"agranulocytosis, anaphylactic shock, angioedema, asthenia, body temperature increased, bronchospasm, chest pain, cholestasis, confusional state, constipation, deafness, decreased appetite","haemolytic anaemia, nephrotic syndrome, tubulointerstitial nephritis","drug reaction with eosinophilia and systemic symptoms, leukocytoclastic vasculitis","cellulitis gangrenous, necrotising fasciitis",
digoxin,"abdominal pain, anxiety, apathy, arrhythmia, asthenia, atrioventricular block, atrioventricular block first degree, cardiac arrest, cardiac disorder, cardiotoxicity, conduction disorder, confusional state","atrioventricular block complete, dissociation, drug interaction, electrocardiogram change, electrocardiogram pr prolongation, electrocardiogram st segment depression, sinus bradycardia","atrioventricular block second degree, chorea, necrosis, toxicity to various agents, xanthopsia","atrial tachycardia, atrioventricular dissociation, intestinal ischaemia, mesenteric vascular insufficiency, supraventricular tachyarrhythmia",
dimenhydrinate,"agitation, decreased appetite, dermatitis, dizziness, dry mouth, dyspepsia, dysuria, fatigue, headache, insomnia, nervousness, rash",,,,
diphenhydramine,"agitation, agranulocytosis, asthenia, chest discomfort, chills, confusional state, constipation, convulsion, decreased appetite, diarrhoea, diplopia, dizziness","drug eruption, haemolytic anaemia, labyrinthitis",,,
dipyridamole,"abdominal discomfort, abdominal pain, abdominal pain upper, acute coronary syndrome, alopecia, anaemia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anorectal discomfort, anxiety","anaphylactoid reaction, coronary artery disease, electrocardiogram change, grand mal convulsion, intermittent claudication, ischaemia, laryngeal oedema, laryngospasm, procedural haemorrhage, rectal tenesmus",cardiac fibrillation,"cardiac death, electrocardiogram st-t change, sinus arrest",
disulfiram,"abdominal discomfort, asthenia, breath odour, dermatitis acneiform, dermatitis atopic, dizziness, erectile dysfunction, eye pain, fatigue, headache, hepatic failure, hepatitis","peripheral sensorimotor neuropathy, stress","hepatic necrosis, hepatitis fulminant",,
dobutamine,"angina pectoris, chest pain, dyspnoea, headache, hypokalaemia, hypotension, nausea, palpitations, phlebitis, pruritus, skin exfoliation, skin necrosis",blood pressure systolic increased,,,
docetaxel,"abdominal pain, abdominal pain upper, acute coronary syndrome, acute respiratory distress syndrome, ageusia, agranulocytosis, alanine aminotransferase increased, alopecia, amenorrhoea, anaemia, anaphylactic shock, angina pectoris","acute leukaemia, acute myeloid leukaemia, angina unstable, atrial flutter, cyst, disseminated intravascular coagulation, drug interaction, duodenal ulcer, effusion, enteritis","acute pulmonary oedema, coma hepatic, cutaneous lupus erythematosus, dacryostenosis acquired, diarrhoea haemorrhagic, foetor hepaticus, large intestine perforation, lymphatic disorder","congestive cardiomyopathy, death, fluid imbalance, hand and foot syndrome secondary to sickle cell anaemia, metastatic neoplasm, onychomadesis, palmar-plantar erythrodysaesthesia syndrome","liver function test normal, nail toxicity"
dofetilide,"abdominal pain, acute coronary syndrome, angina pectoris, angioedema, anxiety, arrhythmia, arthralgia, asthenia, atrioventricular block, back pain, bradycardia, bundle branch block","cerebral ischaemia, paralysis, sudden death, torsade de pointes",,paralysis flaccid,
dorzolamide,"abdominal pain, abnormal dreams, acute coronary syndrome, affect lability, agranulocytosis, alopecia, amnesia, anaphylactic shock, angina pectoris, angioedema, anxiety, arrhythmia","catatonia, cerebral ischaemia, corneal oedema, intermittent claudication, iridocyclitis, laryngospasm, myopia, respiratory failure, vital dye staining cornea present","arterial thrombosis, cataract subcapsular, eyelid irritation, hypoaesthesia eye, lenticular opacities, myasthenia gravis, peyronie's disease, retroperitoneal fibrosis","bronchial obstruction, choroidal detachment, dermatitis psoriasiform, device capturing issue, purpura non-thrombocytopenic, sinoatrial block",eyelid pain
doxepin,"abdominal pain, abnormal dreams, accommodation disorder, ageusia, aggression, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, angiopathy, anxiety","adjustment disorder, back injury, breast cyst, completed suicide, cyst, electrocardiogram change, elevated mood, eye infection, haematochezia, haemolytic anaemia","blood pressure inadequately controlled, cellulitis staphylococcal, electrocardiogram qrs complex abnormal, electrocardiogram st-t segment abnormal, gingival recession, haemoglobinuria, hyperpyrexia, infective tenosynovitis",cardiac death,aspiration
doxorubicin,"abdominal distension, abdominal pain, abdominal pain upper, abnormal dreams, abscess, affect lability, ageusia, agitation, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia","acute leukaemia, acute myeloid leukaemia, anaphylactoid reaction, anuria, aplastic anaemia, blindness, blood disorder, cardiogenic shock, coma, cryptococcosis","acute lymphocytic leukaemia, balanitis, cystitis haemorrhagic, diarrhoea haemorrhagic, electrocardiogram qrs complex abnormal, hydronephrosis, leukaemia, leukoplakia oral","caecitis, chemical cystitis, congestive cardiomyopathy, embolism arterial, gastritis erosive, hand and foot syndrome secondary to sickle cell anaemia, heart disease congenital, metastatic neoplasm","bladder stenosis, blood thromboplastin decreased, cholangitis sclerosing, gastrointestinal toxicity, hypolipidaemia, immunology test, proctitis ulcerative, toxoplasmosis"
doxycycline,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abscess, ageusia, anaemia, anaphylactic shock, angioedema, anxiety, aphthous stomatitis, arthralgia","benign intracranial hypertension, clostridium difficile colitis, drug eruption, ear infection, enterocolitis, gingival pain, haemolytic anaemia, hepatic steatosis, mass, osteopenia","henoch-schonlein purpura, hepatitis cholestatic, nail discolouration, systemic lupus erythematosus, thrombocytopenic purpura, tooth discolouration, tooth fracture","essential hypertension, fistula, fontanelle bulging, tooth loss","photoonycholysis, rash morbilliform, tooth hypoplasia"
dronedarone,"abdominal pain, ageusia, anaphylactic shock, angioedema, angiopathy, asthenia, blood creatinine increased, bradycardia, cardiac disorder, cardiac failure, cardiac failure congestive, dermatitis","atrial flutter, traumatic liver injury","acute hepatic failure, leukocytoclastic vasculitis, pulmonary fibrosis",,
droperidol,"akathisia, altered state of consciousness, amenorrhoea, anaphylactic shock, angioedema, anxiety, blood pressure increased, body temperature increased, bronchospasm, cardiac arrest, chills, depression","autonomic nervous system imbalance, inappropriate antidiuretic hormone secretion, laryngospasm, sudden death, tardive dyskinesia, torsade de pointes","hyperprolactinaemia, neuroleptic malignant syndrome",light anaesthesia,
duloxetine,"abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abnormal dreams, acute coronary syndrome, affect lability, aggression, agitation, akathisia, alanine aminotransferase increased, alopecia","abdominal tenderness, angle closure glaucoma, arrhythmia supraventricular, blood disorder, blood potassium increased, blood pressure diastolic increased, blood pressure systolic increased, bundle branch block right, completed suicide, coronary artery disease","blood pressure diastolic decreased, cardiac fibrillation, electric shock, hyperprolactinaemia, serotonin syndrome, suicidal behaviour","essential hypertension, orthostatic hypertension, systolic hypertension","genital hypoaesthesia, labile hypertension, secondary hypertension"
dutasteride,"angioedema, anorgasmia, breast cancer, breast disorder, breast enlargement, breast pain, breast tenderness, cardiac failure, depressed mood, dermatitis, disturbance in sexual arousal, dizziness","ejaculation failure, loss of libido, nipple pain, prostate cancer, testicular swelling","breast swelling, premature ejaculation","breast cancer male, hepatic adenoma, retrograde ejaculation","nipple swelling, orgasmic sensation decreased, semen volume decreased"
ecallantide,"abdominal pain upper, anaphylactic shock, asthenia, body temperature increased, contusion, diarrhoea, erythema, fatigue, headache, hypersensitivity, injection site reaction, nasopharyngitis",,,,
efavirenz,"abdominal distension, abdominal pain, abnormal dreams, affect lability, aggression, agitation, alcohol intolerance, alopecia, amnesia, amylase increased, anaemia, angioedema","completed suicide, fanconi syndrome, hepatic steatosis, hepatitis acute, lipohypertrophy, lipoma, paresis, renal tubular disorder, rhabdomyolysis, tubulointerstitial nephritis","necrosis, nephrogenic diabetes insipidus, obesity, osteomalacia","anencephaly, autoimmune disorder, basedow's disease, cleft palate, fasting, insulin resistance, malabsorption, polyarthritis","anophthalmos, hepatitis c antibody positive, lipidosis"
efinaconazole,"application site pain, application site rash, application site vesicles, instillation site pain",ingrowing nail,,,
eliglustat,"abdominal pain upper, arthralgia, asthenia, back pain, constipation, cough, dermatitis, diarrhoea, dizziness, dyspepsia, fatigue, flatulence",,,,
eltrombopag,"abdominal pain, alanine aminotransferase increased, alopecia, anaemia, arthralgia, aspartate aminotransferase increased, asthenia, back pain, blood alkaline phosphatase increased, body temperature increased, cataract, chills",,,,
empagliflozin,"angiopathy, arthralgia, bladder pain, blood creatinine increased, cystitis, cystitis noninfective, dehydration, diabetes mellitus, diabetic nephropathy, dizziness, dysuria, fungal infection","blood pressure systolic decreased, dyslipidaemia, genital infection, haematocrit increased, retinal disorder, vulvitis, vulvovaginal candidiasis, vulvovaginal mycotic infection, vulvovaginitis",balanitis,,"asymptomatic bacteriuria, phimosis"
emtricitabine,"abdominal pain, abnormal dreams, alanine aminotransferase increased, amylase increased, anaemia, angioedema, anogenital warts, anxiety, arthralgia, asthenia, back pain, blood creatine phosphokinase increased","blood glucose decreased, exfoliative rash, fanconi syndrome, hepatic steatosis, lipohypertrophy, renal tubular disorder, rhabdomyolysis, tubulointerstitial nephritis, urethritis, urethritis noninfective","nephrogenic diabetes insipidus, osteomalacia, rash vesicular","autoimmune disorder, basedow's disease, fasting, hepatitis b, insulin resistance","genital ulceration, secondary syphilis, syphilis"
entacapone,"abdominal pain, abnormal dreams, acute coronary syndrome, ageusia, agitation, albuminuria, altered state of consciousness, angina pectoris, anxiety, arthritis, asthenia, ataxia","binge eating, change of bowel habit, congenital eye disorder, diverticulitis, faeces discoloured, fibroadenoma of breast, hypersexuality, intermittent claudication, liver disorder, pathological gambling","foetor hepaticus, neuroleptic malignant syndrome",cardiac valve disease,
entecavir,"abdominal pain, abdominal pain upper, alopecia, anaphylactic shock, ascites, asthenia, blood bicarbonate decreased, blood creatinine increased, body temperature increased, dermatitis, diarrhoea, dizziness","anaphylactoid reaction, hepatic cirrhosis, laboratory test abnormal","hepatic cancer, hepatocellular carcinoma, lactase deficiency, lactose intolerance","hepatitis b, hepatitis b e antigen positive, upper gastrointestinal haemorrhage","hepatorenal syndrome, product taste abnormal"
eptifibatide,"abdominal pain, acute coronary syndrome, anaphylactic shock, angiopathy, atrial fibrillation, atrioventricular block, body temperature increased, cardiac arrest, cardiac disorder, cardiac failure, cardiac failure congestive, cerebral haemorrhage","blood disorder, cerebral infarction, cerebral ischaemia, congenital arterial malformation, coronary artery disease, haemorrhagic stroke, liver disorder, retroperitoneal haemorrhage",coronary artery occlusion,,
erlotinib,"abdominal pain, acne, acute coronary syndrome, acute respiratory distress syndrome, alanine aminotransferase increased, alopecia, anxiety, arrhythmia, arthralgia, asthenia, back pain, blister","drug interaction, haematochezia, haemolytic anaemia, hirsutism, ischaemia, liver disorder, nephritis, rhabdomyolysis, skin fissures, ulcerative keratitis","foetor hepaticus, microangiopathic haemolytic anaemia, pulmonary fibrosis","corneal perforation, obliterative bronchiolitis, peptic ulcer haemorrhage","hepatorenal syndrome, pancreatic carcinoma"
ertapenem,"abdominal abscess, abdominal distension, abdominal pain, abdominal pain upper, aggression, agitation, alanine aminotransferase increased, altered state of consciousness, anaemia, anaphylactic shock, angiopathy, anxiety","abortion, anaphylactoid reaction, anuria, blood albumin decreased, blood potassium increased, clostridial infection, clostridium colitis, drug eruption, duodenitis, ear infection","cardiac fibrillation, foetor hepaticus, necrosis, postoperative wound infection, tooth discolouration","infusion site swelling, pregnancy, pyloric stenosis","anastomotic leak, bladder dysfunction, gastrointestinal stoma complication, genital rash, infusion site induration, infusion site oedema, infusion site pruritus, infusion site warmth"
erythromycin,"abdominal discomfort, abdominal pain, anaphylactic shock, angioedema, arrhythmia, burning sensation, chest pain, confusional state, convulsion, deafness, deafness neurosensory, decreased appetite","superinfection, torsade de pointes, tubulointerstitial nephritis",streptococcal infection,pyloric stenosis,chlamydial infection
esomeprazole,"abdominal distension, abdominal pain, abdominal pain upper, ageusia, aggression, agitation, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia, anaemia, anal pruritus","duodenitis, fibromyalgia, hernia, laryngeal oedema, oral disorder, polyp, tongue disorder, tongue oedema, tubulointerstitial nephritis","gastrointestinal candidiasis, pharyngeal disorder",erosive oesophagitis,"barrett's oesophagus, blood gastrin increased, dysplasia, mucosal discolouration, varices oesophageal"
estazolam,"abdominal pain, affect lability, agitation, agranulocytosis, amnesia, anxiety, apathy, arrhythmia, arthralgia, arthritis, aspartate aminotransferase increased, asthenia","enterocolitis, eye swelling, thyroid neoplasm","breast swelling, penile discharge",,
estrone,"abdominal distension, abdominal pain, abnormal withdrawal bleeding, acute coronary syndrome, anaphylactic shock, angioedema, arthralgia, asthma, blood pressure increased, breast cancer, cerebrovascular accident, dementia","breast discharge, chloasma, ectropion of cervix, endometrial hyperplasia, epilepsy, fibrocystic breast disease, gallbladder disorder, hirsutism, ovarian cancer, thrombophlebitis superficial","chorea, endometrial cancer, haemangioma, porphyrin metabolism disorder, retinal vascular thrombosis",,
ethosuximide,"abdominal discomfort, abdominal pain, abdominal pain upper, aggression, agitation, agranulocytosis, asthenia, ataxia, breast disorder, connective tissue disorder, decreased appetite, dermatitis","aplastic anaemia, drug eruption, hirsutism, myopia, swollen tongue, tongue disorder, tongue oedema","sleep terror, systemic lupus erythematosus",,gingival hypertrophy
etodolac,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, acute coronary syndrome, ageusia, agranulocytosis, alopecia, anaemia, anaphylactic shock, angioedema, anxiety","abnormal faeces, anaphylactoid reaction, aplastic anaemia, bleeding time prolonged, coma, duodenitis, haemolytic anaemia, meningitis, tubulointerstitial nephritis","hepatic necrosis, hepatitis cholestatic, hepatitis fulminant, intestinal ulcer, leukocytoclastic vasculitis, oesophageal achalasia, renal papillary necrosis","cutaneous vasculitis, epidermal necrosis",
etoposide,"abdominal pain, acute coronary syndrome, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angiopathy, anorectal discomfort, apnoea, ascites, asthenia","acute leukaemia, anaphylactoid reaction, blindness cortical, blood albumin decreased, cyst, laryngospasm, nail pigmentation, nephropathy, pigmentation disorder, polyp","necrosis, parotitis, pulmonary fibrosis, recall phenomenon","haematotoxicity, palmar-plantar erythrodysaesthesia syndrome","gastrointestinal toxicity, lung cancer metastatic"
etravirine,"abdominal distension, abdominal pain, abnormal dreams, acute coronary syndrome, amnesia, anaemia, angina pectoris, angioedema, angiopathy, anxiety, asthenia, atrial fibrillation","blood disorder, dyslipidaemia, haemolytic anaemia, haemorrhagic stroke, hepatic steatosis, lipohypertrophy, oral disorder, rhabdomyolysis, sluggishness, swelling face",rash vesicular,"autoimmune disorder, basedow's disease, hepatitis b, hepatitis c",chronic hepatitis b
everolimus,"abdominal distension, abdominal pain, abdominal pain upper, acne, activated partial thromboplastin time prolonged, acute coronary syndrome, acute respiratory distress syndrome, ageusia, aggression, agitation, alanine aminotransferase increased, alopecia","acidosis, acute respiratory failure, aplasia pure red cell, blood albumin decreased, blood calcium decreased, blood disorder, blood follicle stimulating hormone increased, blood potassium increased, blood testosterone decreased, bronchitis viral","alveolar proteinosis, fibrosis, foetor hepaticus, hepatic artery thrombosis, hepatic cancer, hepatocellular carcinoma, hydronephrosis, infertility male","bk virus infection, cervicobrachial syndrome, complex regional pain syndrome, graft loss, hepatic enzyme abnormal, hepatitis b, hepatitis c, kaposi's sarcoma","benign neoplasm, chronic hepatic failure, chronic hepatitis, cirrhosis alcoholic, colorectal cancer metastatic, gingival hypertrophy, glioblastoma, glomerulonephropathy"
exemestane,"abdominal pain, acute coronary syndrome, alopecia, angina pectoris, anxiety, arthralgia, arthritis, asthenia, back pain, body temperature increased, bone disorder, bone pain","coronary artery disease, endometrial hyperplasia, liver disorder, polyp","acute generalised exanthematous pustulosis, hepatitis cholestatic, osteoporotic fracture","musculoskeletal disorder, trigger finger",osteochondrosis
exenatide,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, alopecia, anaphylactic shock, angioedema, angiopathy, anxiety, arthralgia, asthenia, back pain","alveolitis allergic, blood glucose decreased, coma, drug interaction, injection site haematoma, international normalised ratio increased, ischaemia, pruritus generalised","injection site mass, pancreatitis necrotising",,neuroglycopenia
ezetimibe,"abdominal pain, alanine aminotransferase increased, alopecia, amnesia, anaemia, anaphylactic shock, angioedema, angiopathy, arthralgia, arthritis, aspartate aminotransferase increased, asthenia","cognitive disorder, drug interaction, gallbladder disorder, liver disorder, panniculitis, red blood cell sedimentation rate increased, rhabdomyolysis","drug reaction with eosinophilia and systemic symptoms, foetor hepaticus","dermatomyositis, immune-mediated necrotising myopathy, lupus-like syndrome",type iia hyperlipidaemia
famotidine,"abdominal discomfort, abdominal pain, acne, agitation, agranulocytosis, alopecia, anaemia, anaphylactic shock, angioedema, anxiety, arrhythmia, arthralgia","grand mal convulsion, hypotrichosis, injection site irritation, orbital oedema, rhabdomyolysis, sinus disorder, supraventricular extrasystoles",eustachian tube disorder,"benign prostatic hyperplasia, erosive oesophagitis","anxiety disorder, measles"
febuxostat,"abdominal discomfort, abdominal distension, abdominal pain, activated partial thromboplastin time prolonged, acute coronary syndrome, agitation, alopecia, amylase increased, anaemia, anaphylactic shock, angina pectoris, angioedema","blood potassium increased, electroencephalogram abnormal, exfoliative rash, gastric ph decreased, gingival pain, haematochezia, hair colour changes, hair growth abnormal, hepatic steatosis, hyperchlorhydria","foetor hepaticus, guillain-barre syndrome, paranasal sinus hypersecretion, prostatic specific antigen increased, rash follicular, rash vesicular","blood creatine increased, blood sodium increased, coagulation test abnormal, hyposmia, hypouricaemia, idiopathic thrombocytopenic purpura, psychotic behaviour","lacunar infarction, mechanical urticaria, urticaria physical"
felbamate,"abdominal pain, acne, affect lability, aggression, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, anxiety, apathy","acute leukaemia, anaphylactoid reaction, aplastic anaemia, arrhythmia supraventricular, brain oedema, coma, disseminated intravascular coagulation, drug interaction, enteritis, haemolytic anaemia","antinuclear antibody positive, gastric dilatation, haemorrhage urinary tract, henoch-schonlein purpura, hyperpyrexia, leukaemia, megacolon, miosis","anencephaly, congenital genital malformation, foetal death, hyperammonaemia, lymphoproliferative disorder, microcephaly, myeloid leukaemia, prothrombin time shortened","encephalocele, hepatorenal syndrome, mean cell volume increased, mononeuritis, placental disorder, sudden infant death syndrome"
fenofibrate,"abdominal pain, acne, acute coronary syndrome, alanine aminotransferase increased, alopecia, alveolitis, amblyopia, anaemia, angina pectoris, angiopathy, anorectal disorder, anxiety","arteriosclerosis, calculus urinary, coronary artery disease, drug interaction, duodenal ulcer, hepatic steatosis, hernia, laboratory test abnormal, myositis, peripheral vascular disorder",,breast feeding,
fentanyl,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abnormal dreams, abscess, affect lability, ageusia, agitation, akathisia, alopecia, altered state of consciousness","abnormal sensation in eye, acidosis, anaphylactoid reaction, anuria, application site ulcer, bleeding time prolonged, breast neoplasm, cerebral ischaemia, chapped lips, cognitive disorder","accidental overdose, application site hypersensitivity, clonic convulsion, deafness transitory, drug dependence, drug withdrawal syndrome neonatal, granuloma, hydronephrosis","anosmia, cardio-respiratory arrest, dependence, light anaesthesia, nasal ulcer, oral mucosal blistering, pregnancy, spinal compression fracture","application site eczema, attention deficit/hyperactivity disorder, biliary tract disorder, cardiovascular insufficiency, deafness permanent, gingival ulceration, hepatorenal syndrome, intentional drug misuse"
ferumoxytol,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, acute coronary syndrome, anaphylactic shock, angioedema, angiopathy, arrhythmia, arthralgia, asthenia, back pain","anaphylactoid reaction, blood glucose decreased, faeces discoloured, injection site bruising, injection site discolouration, injection site haemorrhage, laryngeal oedema, oxygen saturation decreased, pharyngeal oedema, pruritus generalised","lip swelling, respiratory arrest","cardio-respiratory arrest, infusion site swelling, malignant hypertension, pulse absent, serum ferritin increased",
fidaxomicin,"abdominal distension, abdominal pain, alanine aminotransferase increased, anaemia, angioedema, constipation, decreased appetite, dermatitis, dizziness, dry mouth, dysgeusia, dyspepsia","abdominal tenderness, drug eruption",megacolon,,
