generic_name_clean,top_label_confirmed_side_effects,side_effect_count_label_confirmed
cefaclor,"abdominal pain, agitation, alanine aminotransferase increased, anxiety, arthralgia, asthenia, back pain, blood alkaline phosphatase increased, blood bilirubin increased, blood creatine phosphokinase increased, blood creatinine increased, body temperature increased, candida infection, chest pain, chills, colitis, conjunctivitis, constipation, convulsion, cough, decreased appetite, dermatitis, diarrhoea, discomfort, dizziness, dyspepsia, dyspnoea, dysuria, epistaxis, feeling abnormal, flatulence, gamma-glutamyltransferase increased, gastritis, gastrointestinal disorder, gastrointestinal pain, haematuria, haemoglobin, haemoglobin decreased, haemorrhage, hallucination, headache, hepatobiliary disease, hyperhidrosis, hypersensitivity, hyponatraemia, hypotension, ill-defined disorder, infestation, influenza, insomnia, leukopenia, lymphocyte count decreased, malaise, musculoskeletal discomfort, myalgia, nausea, nervous system disorder, nervousness, neutropenia, oedema, oedema peripheral, pain, palpitations, pancytopenia, paraesthesia, platelet count decreased, pruritus, rash, rhinitis, somnolence, tension, thrombocytopenia, tremor, urethral disorder, urinary tract disorder, urticaria, vertigo, vomiting, agranulocytosis, anaphylactic shock, angioedema, asthma, blood lactate dehydrogenase increased, blood urea increased, cardiac failure congestive, cholestasis, confusional state, drug hypersensitivity, dysmenorrhoea, ear pain, eosinophilia, erythema multiforme, face oedema, hepatic function abnormal, hepatitis, hyperkinesia, hypertonia, immune system disorder, injury, jaundice cholestatic, loss of consciousness, lung disorder, menstrual disorder, neck pain, nephropathy toxic, otitis media, prothrombin level increased, pruritus genital, pseudomembranous colitis, rash maculo-papular, shock, sinusitis, stevens-johnson syndrome, syncope, thrombocytosis, toxic epidermal necrolysis, urine analysis abnormal, vaginal discharge, vaginal infection, vaginal inflammation, lymphocytosis, nocturia, anaphylactoid reaction, aplastic anaemia, blood albumin decreased, blood calcium decreased, blood potassium increased, haemolytic anaemia, nephropathy, superinfection, tubulointerstitial nephritis, vulvovaginal candidiasis, vulvovaginal mycotic infection, pyuria, serum sickness, serum sickness-like reaction, blood sodium increased",137
cefadroxil,"abdominal pain, alanine aminotransferase increased, arthralgia, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, body temperature increased, convulsion, dermatitis, diarrhoea, dizziness, dyspepsia, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemorrhage, headache, hypersensitivity, muscle spasms, musculoskeletal discomfort, nausea, nervousness, neutropenia, pancytopenia, pruritus, rash, somnolence, swelling, tension, thrombocytopenia, urticaria, vertigo, vomiting, agranulocytosis, anaphylactic shock, angioedema, blood lactate dehydrogenase increased, blood urea increased, cholestasis, eosinophilia, erythema multiforme, hepatic failure, hepatic function abnormal, nephropathy toxic, prothrombin level increased, pruritus genital, pseudomembranous colitis, stevens-johnson syndrome, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, genital candidiasis, aplastic anaemia, haemolytic anaemia, superinfection, serum sickness, infertility",59
cefazolin,"abdominal pain, abdominal pain upper, agitation, anaemia, aspartate aminotransferase increased, asthenia, blood bilirubin increased, blood creatinine increased, body temperature increased, candida infection, colitis, convulsion, decreased appetite, dermatitis, diarrhoea, dizziness, dyspepsia, fatigue, feeling abnormal, flatulence, gastrointestinal pain, haemoglobin, haemorrhage, headache, hypersensitivity, hypotension, leukopenia, mouth ulceration, nausea, neutropenia, oral candidiasis, pain, pancytopenia, pruritus, rash, renal failure, somnolence, stomatitis, thrombocytopenia, urticaria, vomiting, agranulocytosis, anal pruritus, anaphylactic shock, anorectal discomfort, blood lactate dehydrogenase increased, blood urea increased, cheilitis, cholestasis, confusional state, eosinophilia, erythema multiforme, hepatic function abnormal, hepatitis, hyperkinesia, hypertonia, induration, jaundice cholestatic, local reaction, loss of consciousness, nephropathy toxic, phlebitis, prothrombin level increased, pruritus genital, pseudomembranous colitis, shock, stevens-johnson syndrome, syncope, thrombocytosis, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, genital candidiasis, aplastic anaemia, blood disorder, haemolytic anaemia, liver disorder, nephropathy, superinfection, tubulointerstitial nephritis, vulvovaginal pruritus, serum sickness-like reaction, pneumonia streptococcal, post procedural infection",84
cefdinir,"abdominal pain, agitation, amylase increased, aspartate aminotransferase increased, asthenia, body temperature increased, candida infection, chest pain, conjunctivitis, constipation, convulsion, decreased appetite, dermatitis, dermatitis exfoliative, diarrhoea, dizziness, dry mouth, dyskinesia, dyspepsia, flatulence, gastrointestinal disorder, gastrointestinal pain, haematuria, haemoglobin, haemorrhage, headache, hypersensitivity, hypertension, ileus, insomnia, jaundice, leukopenia, nausea, neutropenia, pancytopenia, pneumonia, pruritus, purpura, rash, renal failure, renal impairment, somnolence, stomatitis, thrombocytopenia, vomiting, acute coronary syndrome, agranulocytosis, anaphylactic shock, asthma, blood urine present, cardiac failure, cholestasis, coagulopathy, erythema multiforme, erythema nodosum, hepatic failure, hepatic function abnormal, hyperkinesia, interstitial lung disease, loss of consciousness, melaena, myocardial infarction, nephropathy toxic, peptic ulcer, pseudomembranous colitis, rash maculo-papular, renal failure acute, shock, stevens-johnson syndrome, toxic epidermal necrolysis, vaginal discharge, vaginal infection, vaginal inflammation, abnormal faeces, acute respiratory failure, aplastic anaemia, disseminated intravascular coagulation, enterocolitis, haemolytic anaemia, haemorrhagic disorder, hepatitis acute, nephropathy, rhabdomyolysis, vulvovaginal candidiasis, vulvovaginal mycotic infection, choking sensation, diarrhoea haemorrhagic, enterocolitis haemorrhagic, hepatitis fulminant, laryngeal oedema, leukocytoclastic vasculitis, serum sickness, skin candida, eosinophilic pneumonia, idiopathic thrombocytopenic purpura, upper gastrointestinal haemorrhage, white blood cells urine positive, blood urine, dermatitis diaper, disability",100
cefepime,"abdominal pain, agitation, alanine aminotransferase increased, anaemia, blood alkaline phosphatase increased, blood phosphorus decreased, body temperature increased, bronchitis, candida infection, chills, colitis, constipation, convulsion, dermatitis, diarrhoea, dizziness, dysgeusia, dyspnoea, erythema, extravasation, feeling abnormal, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemorrhage, hallucination, headache, hypersensitivity, hypocalcaemia, infection, inflammation, injection site inflammation, leukopenia, myoclonus, nausea, neurotoxicity, neutropenia, oral candidiasis, pain, pancytopenia, paraesthesia, pneumonia, pruritus, rash, renal failure, renal impairment, thrombocytopenia, urinary tract infection, urticaria, vasodilation procedure, vomiting, agranulocytosis, altered state of consciousness, anaphylactic shock, cholestasis, confusional state, depressed level of consciousness, encephalopathy, eosinophilia, erythema multiforme, hepatic failure, hepatic function abnormal, hypercalcaemia, local reaction, nephropathy toxic, phlebitis, prothrombin level increased, pruritus genital, pseudomembranous colitis, pyelonephritis, sepsis, shock, stevens-johnson syndrome, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, stupor, aplastic anaemia, blood calcium decreased, blood potassium increased, coma, haemolytic anaemia, liver disorder, status epilepticus, vulvovaginal candidiasis, vulvovaginal mycotic infection, haemolysis, muscle mass, abdominal infection, disability, pneumonia streptococcal",91
cefixime,"abdominal pain, blister, blood bilirubin increased, body temperature increased, candida infection, colitis, convulsion, dermatitis, dermatitis bullous, diarrhoea, dizziness, dyspepsia, flatulence, gastrointestinal pain, haemoglobin, haemorrhage, headache, hyperbilirubinaemia, hypersensitivity, jaundice, leukopenia, nausea, neutropenia, pancytopenia, pruritus, rash, renal failure, renal impairment, thrombocytopenia, urinary tract infection, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, blood lactate dehydrogenase increased, cholestasis, eosinophilia, erythema multiforme, face oedema, hepatic function abnormal, hepatitis, nephropathy toxic, pruritus genital, pseudomembranous colitis, renal failure acute, shock, stevens-johnson syndrome, thrombocytosis, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, anaphylactoid reaction, aplastic anaemia, haemolytic anaemia, meningitis, superinfection, serum sickness, coombs test positive, pneumonia streptococcal",60
cefotaxime,"abdominal pain, body temperature increased, candida infection, colitis, convulsion, dermatitis, dermatitis bullous, diarrhoea, discomfort, feeling abnormal, gastrointestinal pain, haemoglobin, haemorrhage, headache, hypersensitivity, ill-defined disorder, injection site inflammation, jaundice, leukopenia, malaise, nausea, neutropenia, pain, pruritus, rash, renal failure, renal impairment, tenderness, thrombocytopenia, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, arrhythmia, bronchospasm, cholestasis, encephalopathy, eosinophilia, erythema multiforme, hepatic function abnormal, hepatitis, induration, liver injury, local reaction, nephropathy toxic, pseudomembranous colitis, shock, stevens-johnson syndrome, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, aplastic anaemia, enterocolitis, haemolytic anaemia, superinfection, traumatic liver injury, tubulointerstitial nephritis",58
cefotetan,"abdominal pain, blood bilirubin increased, body temperature increased, colitis, convulsion, dermatitis, diarrhoea, discomfort, gastrointestinal pain, haemoglobin, haemorrhage, hypersensitivity, leukopenia, nausea, neutropenia, pancytopenia, pruritus, rash, thrombocytopenia, urticaria, vomiting, agranulocytosis, anaphylactic shock, cholestasis, eosinophilia, erythema multiforme, hepatic function abnormal, nephropathy toxic, phlebitis, prothrombin level increased, pseudomembranous colitis, stevens-johnson syndrome, thrombocytosis, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, aplastic anaemia, haemolytic anaemia, superinfection, vulvovaginal candidiasis, vulvovaginal mycotic infection",41
cefoxitin,"abdominal pain, anaemia, blood bilirubin increased, body temperature increased, candida infection, colitis, convulsion, dermatitis, dermatitis exfoliative, diarrhoea, dyspnoea, erythema, flushing, gastrointestinal pain, haemoglobin, haemorrhage, hypersensitivity, hypotension, jaundice, leukopenia, nausea, neutropenia, pain, pancytopenia, pruritus, rash, tenderness, thrombocytopenia, urethral disorder, urinary tract disorder, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, azotaemia, cholestasis, eosinophilia, erythema multiforme, hepatic function abnormal, induration, local reaction, nephropathy toxic, phlebitis, prothrombin level increased, pseudomembranous colitis, rash maculo-papular, renal failure acute, stevens-johnson syndrome, thrombophlebitis, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, aplastic anaemia, haemolytic anaemia, superinfection, tubulointerstitial nephritis, vulvovaginal candidiasis, vulvovaginal mycotic infection, serum sickness, myasthenia gravis, acute prerenal failure",62
cefprozil,"abdominal pain, agitation, body temperature increased, colitis, convulsion, dermatitis, dermatitis exfoliative, diarrhoea, dizziness, erythema, feeling abnormal, gastrointestinal pain, haemoglobin, haemorrhage, headache, hypersensitivity, insomnia, nausea, nervousness, neutropenia, pain, pancytopenia, pharyngitis, pruritus, rash, somnolence, tension, thrombocytopenia, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, blood lactate dehydrogenase increased, blood urea increased, confusional state, eosinophilia, erythema multiforme, hyperkinesia, jaundice cholestatic, nephropathy toxic, prothrombin level increased, pruritus genital, pseudomembranous colitis, stevens-johnson syndrome, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, aplastic anaemia, haemolytic anaemia, superinfection, congenital anomaly, developmental delay, serum sickness, tooth discolouration, tonsillitis, acute sinusitis, dermatitis diaper, pneumonia streptococcal",59
ceftazidime,"abdominal pain, agitation, angiopathy, application site pain, body temperature increased, candida infection, colitis, convulsion, dermatitis, dermatitis atopic, diarrhoea, dizziness, dysgeusia, flushing, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemorrhage, hallucination, headache, hepatobiliary disease, hot flush, hyperbilirubinaemia, hypersensitivity, hypotension, infestation, inflammation, injection site pain, instillation site pain, jaundice, lethargy, leukopenia, menopausal symptoms, myoclonus, nausea, nervous system disorder, neutropenia, oral candidiasis, pain, pancytopenia, paraesthesia, pruritus, rash, renal failure, renal impairment, skin disorder, skin exfoliation, thrombocytopenia, tremor, urticaria, vision blurred, vomiting, agranulocytosis, alcohol intolerance, anaphylactic shock, angioedema, bronchospasm, cholestasis, encephalopathy, eosinophilia, erythema multiforme, hepatic function abnormal, immune system disorder, local reaction, nephropathy toxic, phlebitis, prothrombin level increased, pseudomembranous colitis, stevens-johnson syndrome, thrombocytosis, thrombophlebitis, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, lymphocytosis, aplastic anaemia, asterixis, coma, haemolytic anaemia, nephropathy, cardio-respiratory arrest, coombs test positive, foetal damage",83
ceftriaxone,"abdominal pain, abdominal pain upper, agitation, anaemia, aspartate aminotransferase increased, ataxia, blood creatinine increased, body temperature increased, candida infection, chills, cholelithiasis, colitis, convulsion, dermatitis, dermatitis atopic, dermatitis exfoliative, diarrhoea, discomfort, dizziness, dysgeusia, dyspepsia, epistaxis, feeling abnormal, feeling hot, flatulence, flushing, gastrointestinal pain, haematuria, haemoglobin, haemorrhage, headache, hyperhidrosis, hypersensitivity, ill-defined disorder, infection, jaundice, leukopenia, lymphopenia, malaise, nausea, neutropenia, oedema, pain, palpitations, paraesthesia, protein urine present, proteinuria, pruritus, rash, renal failure, renal impairment, stomatitis, tenderness, thrombocytopenia, urticaria, vomiting, agranulocytosis, anaphylactic shock, blood lactate dehydrogenase increased, blood urine present, bronchospasm, cholestasis, coagulopathy, eosinophilia, erythema multiforme, fungal infection, glossitis, glossodynia, glycosuria, haematocrit decreased, hepatic function abnormal, hyperkinesia, hypertonia, induration, leukocytosis, local reaction, nephropathy toxic, oliguria, pancreatitis, phlebitis, pseudomembranous colitis, stevens-johnson syndrome, thrombocytosis, thrombophlebitis, toxic epidermal necrolysis, vaginal infection, vaginal inflammation, lymphocytosis, nephrolithiasis, anaphylactoid reaction, aplastic anaemia, drug interaction, enterocolitis, haemolytic anaemia, superinfection, autoimmune haemolytic anaemia, basophilia, crystalluria, laryngeal oedema, monocytosis, serum sickness, alveolitis allergic, serum sickness-like reaction, prothrombin time shortened, blood urine",105
cefuroxime,"abdominal pain, agitation, angiopathy, arthralgia, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, body temperature increased, bronchitis, candida infection, chest pain, chills, colitis, convulsion, cough, decreased appetite, dermatitis, diarrhoea, dizziness, dyspepsia, dyspnoea, dysuria, erythema, flatulence, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemoglobin decreased, haemorrhage, headache, hepatic enzyme increased, hepatobiliary disease, hyperhidrosis, hypersensitivity, infestation, injection site pain, irritability, jaundice, leukopenia, mouth ulceration, muscle spasms, musculoskeletal discomfort, nausea, neutropenia, pain, palpitations, pancytopenia, pruritus, rash, renal failure, renal impairment, salivary hypersecretion, skin disorder, somnolence, stomatitis, tachycardia, thirst, thrombocytopenia, upper respiratory tract infection, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, blood urea increased, cholestasis, eosinophilia, erythema multiforme, hepatic function abnormal, hepatitis, hyperkinesia, immune system disorder, joint swelling, local reaction, musculoskeletal stiffness, nephropathy toxic, prothrombin level increased, pseudomembranous colitis, sinusitis, stevens-johnson syndrome, thrombophlebitis, toxic epidermal necrolysis, trismus, vaginal discharge, vaginal infection, vaginal inflammation, muscle tightness, aplastic anaemia, gastrointestinal infection, haemolytic anaemia, liver disorder, red blood cell sedimentation rate increased, renal pain, swollen tongue, tubulointerstitial nephritis, vulvovaginal candidiasis, vulvovaginal mycotic infection, vulvovaginal pruritus, blood creatinine decreased, urethral pain, serum sickness-like reaction, cutaneous vasculitis, vulvovaginal discomfort, coombs test positive, dermatitis diaper, disability, intertrigo candida, jarisch-herxheimer reaction, tracheobronchitis",112
celecoxib,"abdominal pain, abdominal pain upper, alanine aminotransferase increased, alopecia, anaemia, angiopathy, anxiety, arthralgia, aspartate aminotransferase increased, asthenia, ataxia, back pain, blood alkaline phosphatase increased, blood creatine phosphokinase increased, blood creatinine increased, blood pressure increased, blood uric acid increased, body temperature increased, bone disorder, breast disorder, breast tenderness, bronchitis, candida infection, cardiac disorder, cellulitis, cerebral haemorrhage, chest pain, cholelithiasis, colitis, conjunctivitis, constipation, cough, decreased appetite, dermatitis, dermatitis atopic, dermatitis bullous, dermatitis exfoliative, diabetes mellitus, diarrhoea, dizziness, dry mouth, dry skin, dysgeusia, dyspepsia, dysphagia, dysphonia, dyspnoea, dysuria, ecchymosis, epistaxis, eructation, eye disorder, fatigue, feeling abnormal, flatulence, fluid retention, flushing, gastritis, gastrointestinal disorder, gastrointestinal haemorrhage, gastrointestinal pain, haematuria, haemoglobin, haemoglobin decreased, haemorrhage, hallucination, headache, hepatobiliary disease, herpes simplex, hot flush, hypercholesterolaemia, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hypoglycaemia, hypokalaemia, hyponatraemia, hypophosphataemia, ileus, increased appetite, infection, infestation, influenza like illness, injection site reaction, insomnia, intestinal obstruction, jaundice, leukopenia, liver function test abnormal, mediastinal disorder, menopausal symptoms, mental disorder, migraine, mouth ulceration, muscle spasms, musculoskeletal discomfort, myalgia, nail disorder, nasopharyngitis, nausea, nervous system disorder, nervousness, neuropathy peripheral, oedema, oedema peripheral, osteoarthritis, ovarian cyst, palpitations, pancytopenia, paraesthesia, pharyngitis, photosensitivity reaction, pneumonia, protein urine present, proteinuria, pruritus, rash, rhinitis, skin disorder, skin exfoliation, somnolence, stomatitis, tachycardia, tension, thrombocytopenia, upper respiratory tract infection, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, vertigo, viral infection, vision blurred, vomiting, weight increased, activated partial thromboplastin time prolonged, acute coronary syndrome, ageusia, agranulocytosis, anaphylactic shock, angina pectoris, angioedema, anorectal discomfort, arrhythmia, arthropathy, bacterial infection, bladder pain, blood glucose increased, blood urea increased, blood urine present, breast pain, bronchospasm, cardiac failure, cardiac failure congestive, cholestasis, coagulopathy, confusional state, conjunctival haemorrhage, connective tissue disorder, cystitis, cystitis noninfective, deafness, deep vein thrombosis, dermatitis contact, ear pain, eosinophilia, erythema multiforme, eye haemorrhage, eye pain, face oedema, fracture, fungal infection, gastroenteritis, gastrooesophageal reflux disease, generalised oedema, haematocrit decreased, haematoma, haemorrhage intracranial, haemorrhoidal haemorrhage, haemorrhoids, hearing impaired, hepatic failure, hepatic function abnormal, hepatitis, herpes zoster, hypertonia, hypoaesthesia, immune system disorder, intestinal perforation, loss of consciousness, melaena, menstrual disorder, multiple fractures, musculoskeletal stiffness, myocardial infarction, neoplasm, oesophagitis, otitis media, pancreatitis, pancreatitis acute, pollakiuria, proctalgia, prostatitis, pulmonary embolism, rash erythematous, rash maculo-papular, renal failure acute, sepsis, shock, sinusitis, skin mass, sleep disorder, stevens-johnson syndrome, syncope, thrombocytosis, thrombophlebitis, tinnitus, tooth disorder, toxic epidermal necrolysis, transaminases increased, ulcer, urinary incontinence, urine analysis abnormal, uveitis, vaginal haemorrhage, vaginal infection, vaginal inflammation, vasculitis, ventricular fibrillation, wound infection, albuminuria, cataract, cerebrovascular accident, cerebrovascular disorder, gangrene, genital candidiasis, glaucoma, laryngitis, nephrolithiasis, neuralgia, nocturia, prostatic disorder, tendonitis, transient ischaemic attack, anaphylactoid reaction, angina unstable, aplastic anaemia, blood potassium increased, blood testosterone decreased, breast neoplasm, cerebral infarction, completed suicide, coronary artery disease, diverticulitis, drug eruption, drug interaction, ear infection, erysipelas, frequent bowel movements, functional gastrointestinal disorder, haemoglobin increased, helicobacter infection, hiatus hernia, irritable bowel syndrome, labyrinthitis, myositis, nephrotic syndrome, nuchal rigidity, oesophageal perforation, rectal tenesmus, tendon rupture, tubulointerstitial nephritis, ventricular hypertrophy, acute generalised exanthematous pustulosis, adenoma benign, enterocolitis haemorrhagic, epilepsy, fibroadenoma of breast, foot fracture, gingival infection, hepatic necrosis, hepatitis cholestatic, hepatitis fulminant, hyperchloraemia, large intestine polyp, lipoma, prostatic specific antigen increased, sinus bradycardia, sudden death, vitreous floaters, drug reaction with eosinophilia and systemic symptoms, meningitis aseptic, anosmia, benign prostatic hyperplasia, blood sodium increased, glomerulonephritis minimal lesion, venous occlusion, alveolar osteitis, aortic valve incompetence, arteriosclerosis coronary artery, bacteriuria, blood culture positive, blood urine, diverticulum, epicondylitis, ischaemic stroke, lower limb fracture, soft tissue infection, synovitis, vertigo cns origin",311
cephalexin,"abdominal pain, agitation, alanine aminotransferase increased, arthralgia, arthritis, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, body temperature increased, breast disorder, colitis, convulsion, dermatitis, diarrhoea, dizziness, dyspepsia, fatigue, feeling abnormal, gastritis, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemorrhage, hallucination, headache, hepatobiliary disease, hypersensitivity, infestation, leukopenia, mental disorder, musculoskeletal discomfort, nausea, nervous system disorder, neutropenia, osteoarthritis, pancytopenia, pruritus, rash, skin disorder, thrombocytopenia, urethral disorder, urinary tract disorder, urticaria, vomiting, agranulocytosis, anal pruritus, anaphylactic shock, angioedema, anorectal discomfort, arthropathy, blood lactate dehydrogenase increased, blood urea increased, cholestasis, confusional state, connective tissue disorder, eosinophilia, erythema multiforme, hepatic function abnormal, hepatitis, immune system disorder, jaundice cholestatic, nephropathy toxic, prothrombin level increased, pruritus genital, pseudomembranous colitis, stevens-johnson syndrome, toxic epidermal necrolysis, vaginal discharge, vaginal infection, vaginal inflammation, genital candidiasis, aplastic anaemia, haemolytic anaemia, tubulointerstitial nephritis",76
cetirizine,"abdominal distension, abdominal pain, affect lability, agitation, alopecia, anxiety, application site reaction, arthralgia, arthritis, asthenia, ataxia, back pain, blood alkaline phosphatase increased, blood bilirubin increased, body temperature increased, bone disorder, bronchitis, cardiac disorder, chest pain, chills, conjunctivitis, constipation, convulsion, cough, decreased appetite, dehydration, dermatitis, dermatitis bullous, diabetes mellitus, diarrhoea, discomfort, disturbance in attention, dizziness, dry mouth, dry skin, dysgeusia, dyskinesia, dyspepsia, dysphonia, dyspnoea, dysuria, eczema, epistaxis, eructation, extrapyramidal disorder, eye disorder, fatigue, feeling abnormal, flatulence, fluid retention, flushing, gamma-glutamyltransferase increased, gastritis, gastrointestinal disorder, gastrointestinal pain, haematuria, hallucination, headache, herpes simplex, hot flush, hyperhidrosis, hyperkeratosis, hypersensitivity, hypertension, hypotension, ill-defined disorder, increased appetite, infection, injection site inflammation, insomnia, irritability, jaundice, malaise, menopausal symptoms, mental disability, mental disorder, migraine, mood swings, mouth ulceration, muscle spasms, muscular weakness, musculoskeletal discomfort, myalgia, myoclonus, nasopharyngitis, nausea, nervous system disorder, nervousness, oedema, oedema peripheral, osteoarthritis, pain, palpitations, paraesthesia, periorbital oedema, pharyngitis, photosensitivity reaction, pneumonia, pruritus, purpura, rash, rhinitis, salivary hypersecretion, scotoma, skin disorder, somnolence, stomatitis, tachycardia, tension, thirst, thrombocytopenia, tremor, upper respiratory tract infection, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, vascular purpura, vertigo, viral infection, vision blurred, visual impairment, vomiting, weight increased, accommodation disorder, ageusia, aggression, amnesia, anaphylactic shock, angioedema, arrhythmia, arthropathy, bladder pain, breast pain, bronchospasm, cardiac failure, cholestasis, confusional state, cystitis, cystitis noninfective, deafness, depersonalisation, disturbance in sexual arousal, dysmenorrhoea, ear pain, enuresis, euphoric mood, eye haemorrhage, eye pain, face oedema, fracture, fungal infection, generalised oedema, haemorrhoids, hepatic function abnormal, hepatitis, hyperaesthesia, hyperkinesia, hypertonia, hypertrichosis, hypoaesthesia, immune system disorder, impaired healing, injury, libido decreased, loss of consciousness, lymphadenopathy, melaena, memory impairment, menorrhagia, menstrual disorder, metrorrhagia, movement disorder, multiple fractures, muscle twitching, nightmare, oculogyric crisis, otitis media, ototoxicity, pallor, parosmia, pollakiuria, polyuria, rash erythematous, rash maculo-papular, rectal haemorrhage, shock, sinusitis, skin mass, sleep disorder, speech disorder, suicidal ideation, syncope, thinking abnormal, thyroid disorder, tinnitus, transaminases increased, urinary incontinence, urinary retention, urine abnormality, urine analysis abnormal, urine output increased, vaginal discharge, vaginal infection, vaginal inflammation, xerophthalmia, coordination abnormal, dental caries, furuncle, glaucoma, hyperventilation, rhinitis seasonal, seborrhoeic dermatitis, completed suicide, drug eruption, glomerulonephritis, haemolytic anaemia, paralysis, tongue discolouration, tongue disorder, tongue oedema, unintended pregnancy, blindness, congenital eye disorder, increased bronchial secretion, myelitis, nasal polyps, sputum increased, tendon disorder, stillbirth, urticaria chronic",231
